"RG","TG","COEF","RE","absCOEF"
"CSF2RA_ITGA3","CSF2RA","ITGA3",5.61444015823925e-09,3.77345781744401e-11,5.61444015823925e-09
"CXCR1_CRLF1","CXCR1","CRLF1",0.969461444911664,0.00633559813893267,0.969461444911664
"NPR1_CRLF1","NPR1","CRLF1",1.5404344466674e-15,1.0067005412828e-17,1.5404344466674e-15
"CEACAM6_CX3CL1","CEACAM6","CX3CL1",-0.827274089595547,0.00745480601082335,0.827274089595547
"ICAM1_CX3CL1","ICAM1","CX3CL1",0.00695316904275373,0.000339084182199124,0.00695316904275373
"OSM_CX3CL1","OSM","CX3CL1",0.00524114234128749,0.000306510107153786,0.00524114234128749
"NTSR1_CX3CL1","NTSR1","CX3CL1",-0.813818077687712,0.00630457356324766,0.813818077687712
"RETN_CX3CL1","RETN","CX3CL1",0.00684015307412521,0.000284903933115585,0.00684015307412521
"SFTPA1_CX3CL1","SFTPA1","CX3CL1",0.00541465512679623,0.000254877339634615,0.00541465512679623
"FLRT3_CX3CL1","FLRT3","CX3CL1",-0.00137039265547968,2.09826428265716e-05,0.00137039265547968
"SMO_CX3CL1","SMO","CX3CL1",-0.76917377537665,0.00581797831460619,0.76917377537665
"APOC1_CX3CL1","APOC1","CX3CL1",9.27071092396186e-05,1.79396508887572e-05,9.27071092396186e-05
"ULBP2_CX3CL1","ULBP2","CX3CL1",0.0079951451603117,0.000123558978496399,0.0079951451603117
"EDNRB_CX3CL1","EDNRB","CX3CL1",-0.0311823481553471,0.000525773429012364,0.0311823481553471
"IL10_CX3CL1","IL10","CX3CL1",0.0666461678217471,0.00143760003010798,0.0666461678217471
"CXCL9_CX3CL1","CXCL9","CX3CL1",-0.00141266069819672,2.38129957915287e-05,0.00141266069819672
"ITGA10_CX3CL1","ITGA10","CX3CL1",0.838908277407061,0.0270222313331846,0.838908277407061
"GSTO1_CX3CL1","GSTO1","CX3CL1",0.000554200408892962,0.000131804136352866,0.000554200408892962
"SERPING1_CX3CL1","SERPING1","CX3CL1",0.00110472084411433,0.000114933265944716,0.00110472084411433
"PDE1C_CX3CL1","PDE1C","CX3CL1",-0.0115095972310143,8.91637878485737e-05,0.0115095972310143
"AMFR_CX3CL1","AMFR","CX3CL1",-0.000920398992495172,6.31261004463437e-05,0.000920398992495172
"SCGB3A1_CX3CL1","SCGB3A1","CX3CL1",0.0010254576582306,0.000112435320218573,0.0010254576582306
"COL6A3_CX3CL1","COL6A3","CX3CL1",0.00179018501864298,0.000163776770916225,0.00179018501864298
"PRND_CX3CL1","PRND","CX3CL1",-1.62850622270751e-05,1.26158874578427e-07,1.62850622270751e-05
"CXCR6_CX3CL1","CXCR6","CX3CL1",0.000159309025860458,4.49120268883267e-05,0.000159309025860458
"C1QA_CX3CL1","C1QA","CX3CL1",7.85642894188609e-05,1.20098630397553e-05,7.85642894188609e-05
"NRXN1_CX3CL1","NRXN1","CX3CL1",0.990642093178171,0.00966784400360038,0.990642093178171
"TNFRSF4_CX3CL1","TNFRSF4","CX3CL1",-0.000205705963094503,4.25693766108814e-05,0.000205705963094503
"GFRAL_CX3CL1","GFRAL","CX3CL1",-0.00855983161101475,6.47459862567179e-05,0.00855983161101475
"PDCD1_CX3CL1","PDCD1","CX3CL1",0.000857060825451378,0.000209046013110276,0.000857060825451378
"TLR7_CX3CL1","TLR7","CX3CL1",-0.045942187847406,0.000638747561444641,0.045942187847406
"MUC5AC_CX3CL1","MUC5AC","CX3CL1",-0.000276956213632792,2.38648454618083e-06,0.000276956213632792
"IL10RB_CX3CL1","IL10RB","CX3CL1",0.00132715714247414,0.000160918173525301,0.00132715714247414
"TFPI_TNFRSF12A","TFPI","TNFRSF12A",0.863766661039173,0.0161228822663119,0.863766661039173
"HFE_TNFRSF12A","HFE","TNFRSF12A",-0.836418025974957,0.00671939357422792,0.836418025974957
"ANGPT2_TNFRSF12A","ANGPT2","TNFRSF12A",-0.00447321880739212,0.000185601986267788,0.00447321880739212
"TSPAN15_TNFRSF12A","TSPAN15","TNFRSF12A",0.0181798617762796,0.000337604045704217,0.0181798617762796
"KCND1_TNFRSF12A","KCND1","TNFRSF12A",-0.00470465754367756,3.77950315347178e-05,0.00470465754367756
"TRPC3_TNFRSF12A","TRPC3","TNFRSF12A",0.972682534584178,0.00523496152748216,0.972682534584178
"FZD7_TNFRSF12A","FZD7","TNFRSF12A",8.65885496833918e-11,4.66018161317982e-13,8.65885496833918e-11
"TNFRSF13C_TNFRSF12A","TNFRSF13C","TNFRSF12A",0.982615637794566,0.00831012657529289,0.982615637794566
"SPINK1_TNFRSF12A","SPINK1","TNFRSF12A",0.0221290363802939,0.000394067207205455,0.0221290363802939
"SAA1_TNFRSF12A","SAA1","TNFRSF12A",0.00364684679091965,0.00011555685600228,0.00364684679091965
"SPTBN2_TNFRSF12A","SPTBN2","TNFRSF12A",-2.32753994997639e-05,1.86983738967127e-07,2.32753994997639e-05
"EFNA5_TNFRSF12A","EFNA5","TNFRSF12A",-2.24039815734745e-15,1.79983172465047e-17,2.24039815734745e-15
"TBXA2R_FARP2","TBXA2R","FARP2",-0.237516401885859,0.00206382075244137,0.237516401885859
"FAS_FARP2","FAS","FARP2",0.00232304608167331,0.000405366391261742,0.00232304608167331
"VCAN_FARP2","VCAN","FARP2",-0.0449367648814978,0.000409568384145385,0.0449367648814978
"GPI_FARP2","GPI","FARP2",-0.000610255885055971,0.000165042801392023,0.000610255885055971
"ACVR2B_FARP2","ACVR2B","FARP2",0.103045428134122,0.00135015235699624,0.103045428134122
"ACVR1_FARP2","ACVR1","FARP2",0.0793017353265081,0.00299347891156218,0.0793017353265081
"MPL_FARP2","MPL","FARP2",-1.32047378863887e-06,4.90404281529626e-09,1.32047378863887e-06
"ACVR1C_FARP2","ACVR1C","FARP2",0.00196192516930755,3.60405237969366e-05,0.00196192516930755
"ITGAV_FARP2","ITGAV","FARP2",-0.038947002080714,0.00137198661247988,0.038947002080714
"QDPR_FARP2","QDPR","FARP2",0.0271478503404536,0.00221346724680253,0.0271478503404536
"LY96_FARP2","LY96","FARP2",0.00762822168022368,0.000672412830515003,0.00762822168022368
"CXCL13_FARP2","CXCL13","FARP2",0.00356222807064245,0.000920766407064779,0.00356222807064245
"S100A1_FARP2","S100A1","FARP2",0.123235435526015,0.00458518642722393,0.123235435526015
"DDR2_FARP2","DDR2","FARP2",0.132468205055159,0.00400593018299049,0.132468205055159
"RYK_FARP2","RYK","FARP2",-0.000502469986725147,2.20370230141682e-05,0.000502469986725147
"DEFB1_FARP2","DEFB1","FARP2",0.910587186513126,0.00672063582781327,0.910587186513126
"NLGN2_FARP2","NLGN2","FARP2",0.774394348058816,0.00943313380176268,0.774394348058816
"C3AR1_FARP2","C3AR1","FARP2",-0.016368551781018,0.000410097989261301,0.016368551781018
"GPR35_FARP2","GPR35","FARP2",-0.000394515503895387,3.59574343806991e-06,0.000394515503895387
"PTPN11_FARP2","PTPN11","FARP2",0.00538735475095737,0.000745457554326533,0.00538735475095737
"FZD2_FARP2","FZD2","FARP2",-0.00604225879592402,2.24400484820343e-05,0.00604225879592402
"QRFPR_FARP2","QRFPR","FARP2",-3.486973657279e-15,1.29501003792988e-17,3.486973657279e-15
"COL5A2_FARP2","COL5A2","FARP2",-3.6213204359235e-06,3.30058998088785e-08,3.6213204359235e-06
"CDON_TBXA2R","CDON","TBXA2R",2.2682161759969,0.00842381676723948,2.2682161759969
"MPL_TBXA2R","MPL","TBXA2R",7.30561299321321e-17,2.71319576495588e-19,7.30561299321321e-17
"TNFRSF9_ADIPOR2","TNFRSF9","ADIPOR2",0.009971075358759,0.00123177391580518,0.009971075358759
"COL16A1_ADIPOR2","COL16A1","ADIPOR2",-0.0192416661597548,0.000150414110634192,0.0192416661597548
"GNAS_ADIPOR2","GNAS","ADIPOR2",-0.00313279572677969,0.00297322514749746,0.00313279572677969
"PLTP_ADIPOR2","PLTP","ADIPOR2",-0.00889306126344775,0.000370215762972014,0.00889306126344775
"FZD3_ADIPOR2","FZD3","ADIPOR2",0.0202557315330716,0.000817145306182057,0.0202557315330716
"APLP1_ADIPOR2","APLP1","ADIPOR2",0.85861899351364,0.00696031760399638,0.85861899351364
"PON2_ADIPOR2","PON2","ADIPOR2",0.0440054798340519,0.00229307425819965,0.0440054798340519
"EPHB6_ADIPOR2","EPHB6","ADIPOR2",0.0054918405248348,0.000434820843018808,0.0054918405248348
"MTMR4_ADIPOR2","MTMR4","ADIPOR2",0.0190250855129786,0.00130131453956337,0.0190250855129786
"NECTIN1_ADIPOR2","NECTIN1","ADIPOR2",0.808886552294507,0.00543928472551726,0.808886552294507
"ADGRB2_ADIPOR2","ADGRB2","ADIPOR2",-0.146717497381294,0.000811656860855135,0.146717497381294
"OPRL1_ADIPOR2","OPRL1","ADIPOR2",0.596309819835655,0.00495410235859267,0.596309819835655
"PSPN_ADIPOR2","PSPN","ADIPOR2",0.00243373363900372,1.80668969711907e-05,0.00243373363900372
"CCR7_ADIPOR2","CCR7","ADIPOR2",0.0039913894363064,0.00184187463667333,0.0039913894363064
"PODXL_ADIPOR2","PODXL","ADIPOR2",0.892608493227254,0.00857368078448998,0.892608493227254
"CLEC10A_ADIPOR2","CLEC10A","ADIPOR2",0.840218212404232,0.00549342268503839,0.840218212404232
"NOTCH2_ADIPOR2","NOTCH2","ADIPOR2",0.0338508350610051,0.00233638488256904,0.0338508350610051
"SERPINE2_ADIPOR2","SERPINE2","ADIPOR2",0.0227127713705235,0.00165223520799879,0.0227127713705235
"MFGE8_ADIPOR2","MFGE8","ADIPOR2",0.00838010619951015,0.000849339367282059,0.00838010619951015
"NECTIN4_ADIPOR2","NECTIN4","ADIPOR2",0.849209755959646,0.00637144338486005,0.849209755959646
"PTPRK_ADIPOR2","PTPRK","ADIPOR2",0.000141319796833844,1.14559621569817e-06,0.000141319796833844
"WNT7A_ADIPOR2","WNT7A","ADIPOR2",0.092045321995556,0.0019964651714076,0.092045321995556
"NPTN_ADIPOR2","NPTN","ADIPOR2",0.0185667777521075,0.00143044610049979,0.0185667777521075
"IFNAR2_ADIPOR2","IFNAR2","ADIPOR2",0.0196612528668502,0.00491061466504614,0.0196612528668502
"S100A1_ADIPOR2","S100A1","ADIPOR2",0.00712349815460879,0.00026504200608738,0.00712349815460879
"DDR2_ADIPOR2","DDR2","ADIPOR2",0.120634072142334,0.00364805781501157,0.120634072142334
"ADORA1_ADIPOR2","ADORA1","ADIPOR2",0.813953669071942,0.00660017206343802,0.813953669071942
"RYK_ADIPOR2","RYK","ADIPOR2",0.16345426645393,0.00716867778528544,0.16345426645393
"PNOC_ADIPOR2","PNOC","ADIPOR2",-0.0288459333858185,0.000409791859240962,0.0288459333858185
"CLEC12A_ADIPOR2","CLEC12A","ADIPOR2",0.816088640329508,0.00578742214441528,0.816088640329508
"TNFRSF10D_ADIPOR2","TNFRSF10D","ADIPOR2",0.02627787426082,0.000946287550426658,0.02627787426082
"ERBB4_ADIPOR2","ERBB4","ADIPOR2",0.000486233751506927,4.67037116910343e-06,0.000486233751506927
"THBD_ADIPOR2","THBD","ADIPOR2",0.000209483654484806,1.36962308445884e-06,0.000209483654484806
"MCFD2_ADIPOR2","MCFD2","ADIPOR2",0.0107236589204344,0.000805734704772863,0.0107236589204344
"EPHB3_ADIPOR2","EPHB3","ADIPOR2",0.762361800061801,0.0135194575298938,0.762361800061801
"NPW_ADIPOR2","NPW","ADIPOR2",0.610517195388849,0.00341878447344827,0.610517195388849
"NPB_ADIPOR2","NPB","ADIPOR2",0.306141121605176,0.00153997237694878,0.306141121605176
"COL4A5_ADIPOR2","COL4A5","ADIPOR2",0.00328035562472006,2.65919076733595e-05,0.00328035562472006
"IL1RAP_ADIPOR2","IL1RAP","ADIPOR2",-0.1453495439451,0.00353295112695031,0.1453495439451
"LRP10_ADIPOR2","LRP10","ADIPOR2",-0.000418810385628818,0.000154172587197001,0.000418810385628818
"NMB_ADIPOR2","NMB","ADIPOR2",0.124647650149196,0.00940840295798299,0.124647650149196
"BMPR2_ADIPOR2","BMPR2","ADIPOR2",0.0136424942678363,0.000671452785551243,0.0136424942678363
"MIF_ADIPOR2","MIF","ADIPOR2",0.000432744258062323,0.000348373724525711,0.000432744258062323
"TNFRSF17_CD9","TNFRSF17","CD9",0.627060702223361,0.0052976303680526,0.627060702223361
