"RG","TG","COEF","RE","absCOEF"
"BMP1_TFPI","BMP1","TFPI",0.0522549079391591,0.00207080277141757,0.0522549079391591
"SDC2_TFPI","SDC2","TFPI",0.00090364108772675,0.000245892507747563,0.00090364108772675
"KISS1_TFPI","KISS1","TFPI",1.05734368056685,0.00533327052244982,1.05734368056685
"FGG_TFPI","FGG","TFPI",0.935960070691103,0.00541770003237304,0.935960070691103
"SAA1_TFPI","SAA1","TFPI",0.0620329143330314,0.00278084970305154,0.0620329143330314
"CHRNA7_TFPI","CHRNA7","TFPI",0.00299232687662921,1.90457718970847e-05,0.00299232687662921
"AGTRAP_TFPI","AGTRAP","TFPI",0.00139193027232845,0.000716241026936366,0.00139193027232845
"MAGED1_TFPI","MAGED1","TFPI",0.000431381241780055,2.94523951969598e-05,0.000431381241780055
"TCN2_TFPI","TCN2","TFPI",0.00236193930957296,0.000603833594915607,0.00236193930957296
"SCN8A_TFPI","SCN8A","TFPI",0.00895102518390612,4.10485891230386e-05,0.00895102518390612
"PDCD1LG2_TFPI","PDCD1LG2","TFPI",0.00335534321492891,0.000187589490105869,0.00335534321492891
"NMB_TFPI","NMB","TFPI",0.0187291147220814,0.00351489043783485,0.0187291147220814
"NMS_TFPI","NMS","TFPI",0.000112998241066241,5.1819967812112e-07,0.000112998241066241
"KIR2DL3_TFPI","KIR2DL3","TFPI",-0.00862206993969029,4.26334888561156e-05,0.00862206993969029
"HP_TFPI","HP","TFPI",0.00256261326591013,0.000217267923363725,0.00256261326591013
"FLT3LG_ITGAL","FLT3LG","ITGAL",0.0514127399101003,0.00173365544311389,0.0514127399101003
"IL2RB_ITGAL","IL2RB","ITGAL",0.440428349837408,0.0142720972012326,0.440428349837408
"LILRA1_ITGAL","LILRA1","ITGAL",0.046780924001829,0.00847092074955816,0.046780924001829
"RECK_ITGAL","RECK","ITGAL",0.0138419472530903,0.00060860586874861,0.0138419472530903
"LIF_ITGAL","LIF","ITGAL",0.1891339904624,0.00120361246649139,0.1891339904624
"TLR4_ITGAL","TLR4","ITGAL",0.0473923318350728,0.0104518100200567,0.0473923318350728
"SIGLEC10_ITGAL","SIGLEC10","ITGAL",0.0626316047784127,0.0204097220412688,0.0626316047784127
"CRH_ITGAL","CRH","ITGAL",2.19697759232227e-05,1.39811443318911e-07,2.19697759232227e-05
"NPR1_ITGAL","NPR1","ITGAL",0.349907345363123,0.00277736044243131,0.349907345363123
"ATP6AP2_ITGAL","ATP6AP2","ITGAL",0.000139038100706955,0.000134882768639064,0.000139038100706955
"COL18A1_ITGAL","COL18A1","ITGAL",0.380817344367986,0.0121025152181293,0.380817344367986
"PTGDR2_ITGAL","PTGDR2","ITGAL",0.14217261631668,0.000980144664870637,0.14217261631668
"SCN10A_ITGAL","SCN10A","ITGAL",0.423953911021737,0.00222254945558109,0.423953911021737
"DCC_ITGAL","DCC","ITGAL",3.9874827513718,0.00622603570455411,3.9874827513718
